id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross
"144","Horrible Bosses 2","2014","Nov","Comedy","R","108","English","Sean Anders","Sean Anders","Jason Bateman","40","63","105376","42000000","54414716"
"145","Rio","2011","Apr","Animation","G","96","English","Carlos Saldanha","Carlos Saldanha","Karen Disher","63","70","159299","90000000","143619809"
"146","Otter 501","2012","May","Documentary","G","85","English","Bob Talbot","Josh Rosen","Katie Pofahl","N/A","74","31","1000000","23656"
"147","Black Swan","2010","Dec","Drama","R","108","English","Darren Aronofsky","Mark Heyman","Natalie Portman","79","80","534796","13000000","106952327"
"148","Gangster Squad","2013","Jan","Action","R","113","English","Ruben Fleischer","Will Beall","Sean Penn","40","68","169307","60000000","45996718"
"149","The Lucky One","2012","Apr","Drama","PG-13","101","English","Scott Hicks","Will Fetters","Zac Efron","39","65","72263","25000000","60457138"
"150","13 Sins","2014","Apr","Horror","R","93","English","Daniel Stamm","David Birke","Mark Webber","44","63","22250","4000000","9134"
"151","Danny Collins","2015","Apr","Comedy","R","106","English","Dan Fogelman","Dan Fogelman","Al Pacino","58","71","18347","10000000","5348317"
"152","Monogamy","2010","Apr","Drama","UNRATED","96","English","Dana Adam Shapiro","Dana Adam Shapiro","Chris Messina","47","50","607","5000000","20202"
"153","The Green Inferno","2013","Sep","Adventure","R","100","English","Eli Roth","Guillermo Amoedo","Lorenza Izzo","38","55","16524","6000000","7192291"
"154","The Oogieloves in the Big Balloon Adventure","2012","Aug","Adventure","G","88","English","Matthew Diamond","Scott Stabile","Jaime Pressly","32","70","13764","12000000","1064277"
"155","Whensday","2013","Aug","Comedy","NOT RATED","100","English","Tomas Herrera, Ben Mozer, Andrew Schneider, Doug Usher","Tomas Herrera, Ben Mozer, Andrew Schneider, Doug Usher","Gregg Adams","N/A","71","25","4000","19463"
"156","The Wolfman","2010","Feb","Drama","R","103","English","Joe Johnston","Andrew Kevin Walker","Simon Merrells","43","58","87884","150000000","61937495"
"157","How to Be Single","2016","Feb","Comedy","R","110","English","Christian Ditter","Abby Kohn","Dakota Johnson","51","63","5292","38000000","18750000"
"158","Marmaduke","2010","Jun","Comedy","PG","87","English","Tom Dey","Tim Rasmussen","Owen Wilson","30","42","10943","50000000","33643461"
"159","Jack Ryan: Shadow Recruit","2014","Jan","Action","PG-13","105","English","Kenneth Branagh","Adam Cozad","Chris Pine","57","62","94842","60000000","50549107"
"160","Language of a Broken Heart","2011","Jun","Comedy","R","100","English","Rocky Powell","Juddy Talt","Juddy Talt","33","58","263","350000","40293"
"161","The Incredible Burt Wonderstone","2013","Mar","Comedy","PG-13","100","English","Don Scardino","Jonathan M. Goldstein","Steve Carell","44","59","58944","30000000","22525921"
"162","Home Run","2013","Apr","Drama","PG-13","113","English","David Boyd","Brian Brightly","Scott Elrod","N/A","60","2321","1200000","2859955"
"163","Man on a Ledge","2012","Jan","Action","PG-13","102","English","Asger Leth","Pablo F. Fenjves","Sam Worthington","40","66","121823","42000000","18600911"
"164","Not Fade Away","2012","Jul","Drama","R","112","English","David Chase","David Chase","John Magaro","65","60","3619","20000000","574508"
"165","Young Adult","2011","Dec","Comedy","R","94","English","Jason Reitman","Diablo Cody","Charlize Theron","71","63","63219","12000000","16311571"
"166","Atlas Shrugged II: The Strike","2012","Oct","Drama","PG-13","111","English","John Putch","Duke Sandefur","Samantha Mathis","26","55","5480","10000000","3333823"
"167","Killer Elite","2011","Sep","Action","R","116","English","Gary McKendry","Matt Sherring","Jason Statham","44","65","103233","35000000","25093607"
"168","The 5th Quarter","2010","Mar","Biography","PG","90","English","Rick Bieber","Rick Bieber","Andie MacDowell","N/A","57","1222","6000000","399611"
