Anomalisa
"Jesus @redlemonader @tcup_purcell, I think Hollywood was eavesdropping on our conversation on Wed night... https://t.co/IDhU1oqivj"
RT @isaacadamson: So excited to be working with @danharmon and glad I can finally share this with y'all - https://t.co/iZhobScRjG
Dan Harmon + Bubbles (el chimpancé de Michael Jackson) + animación en stop motion = proyecto del año https://t.co/Sqfau3U5uA
RT @isaacadamson: So excited to be working with @danharmon and glad I can finally share this with y'all - https://t.co/iZhobScRjG
RT @isaacadamson: So excited to be working with @danharmon and glad I can finally share this with y'all - https://t.co/iZhobScRjG
RT @isaacadamson: So excited to be working with @danharmon and glad I can finally share this with y'all - https://t.co/iZhobScRjG
Intrigued. RT @isaacadamson: So excited to be working with @danharmon and glad I can finally share this with y'all - https://t.co/7kaMUuFZ6r
RT @isaacadamson: So excited to be working with @danharmon and glad I can finally share this with y'all - https://t.co/iZhobScRjG
"........HOW DO I EVEN RESPOND TO THIS?

https://t.co/Wk8zHy765b via @deadline"
Further proof that @StarburnsInd and I were destined to get along: https://t.co/wCwurBdU7F
RT @End_Cue: Michael Jackson Chimp ‘Bubbles’ Gets Stop Motion Animated Movie With End Cue's Andrew Kortschak https://t.co/sK6YYRt6gj @End_C…
Congrats @StarburnsInd! Michael Jackson Chimp ‘Bubbles’ Gets Stop Motion Animated Movie https://t.co/fCIIgQqwtx https://t.co/1LFb1nP72S
RT @filbrickpines: Dan Harmon producirá una nueva peli stop-motion post-Anomalisa centrada en el chimpancé de Michael Jackson. Celebro. htt…
RT @isaacadamson: So excited to be working with @danharmon and glad I can finally share this with y'all - https://t.co/iZhobScRjG
"RT @Animac_Lleida: Dan Harmon, productor d'Anomalisa (Animac 2016), prepara un nou projecte de llarg en stop-motion centrat en la... https:…"
"RT @GoIntoTheStory: Congrats, @isaacadamson! https://t.co/DFOFtcVMmZ #Bubbles"
Michael Jackson Chimp ‘Bubbles’ Gets Stop Motion Animated Movie With End Cue's Andrew Kortschak https://t.co/sK6YYRt6gj @End_Cue
Michael Jackson Chimp ‘Bubbles’ Gets Stop Motion Animated Movie With ‘Anomalisa’s Dan Harmon https://t.co/N1C3rvZ2Ix via @deadline
"RT @GoIntoTheStory: Congrats, @isaacadamson! https://t.co/DFOFtcVMmZ #Bubbles"
"Congrats, @isaacadamson! https://t.co/DFOFtcVMmZ #Bubbles"
RT @michaeljackson_: Michael Jackson Chimp ‘Bubbles’ Gets Stop Motion Animated Movie With ‘Anomalisa’s Dan Harmon: Exclusive: The B... http…
Michael Jackson Chimp ‘Bubbles’ Gets Stop Motion Animated Movie With ‘Anomalisa’s Dan Harmon: Exclusive: The B... https://t.co/jVMGgeai7Y
