The Babadook
The Babadook is a good movie with a weird/stupid ending
The babadook is the scariest ass movie I've ever seen 😂😭 @jjmarshh
The Babadook  was such a good movie and i HATE horror with a passion so it was a good movie
I liked a @YouTube video https://t.co/yIip9PkGzU The Babadook Official Trailer #1 (2014) - Essie Davis Horror Movie HD
I liked a @YouTube video https://t.co/hdFe72MntY Sundance (2014) - The Babadook Trailer - Horror Movie HD
"@PointlessBlog Alfie, you need to watch a movie called The Babadook! So scary 😶"
Falling asleep watching The Babadook. A very good and creepy Australian horror movie. https://t.co/PFDKg8bzy4
"""The Babadook"" (2014) is a surprisingly good movie (A) #AhiMovieReviews &lt;o47v3o&gt;"
"nope fuck this fucking scary ass movie 
the babadook is scary as fucking hell my god"
Movie class🍿 ★ The Babadook (at Kampus J5 Universitas Gunadarma) — https://t.co/50kGAMnrGV
The Babadook actually isn't a terrible movie
"I'm itching for new a horror movie. The last ones I've enjoyed was The Babadook, The Conjuring and The Loved Ones."
"RT @Pensage: For those who say ""Babadook"" is Jung for dummies, a movie isn't supposed to be a thesis. Emotive evocations as important as th…"
"Will the Babadook come for you if you just watched the trailer? I didn't see the movie and I haven't read the book, and yet..."
"RT @osn: You'll see him if you look. We talk about #Babadook, the decade's scariest movie. Tonight, 9 KSA on #OSN Movies HD. https://t.co/d…"
"Watched ""the babadook"" last night, some questionable parts but it was an amazing movie"
RT @waltergross: babadook is probably the most poetic horror movie i've ever seen. it is also relentless and endlessly uneasy.
"RT @osn: You'll see him if you look. We talk about #Babadook, the decade's scariest movie. Tonight, 9 KSA on #OSN Movies HD. https://t.co/d…"
"RT @osn: You'll see him if you look. We talk about #Babadook, the decade's scariest movie. Tonight, 9 KSA on #OSN Movies HD. https://t.co/d…"
"RT @osn: You'll see him if you look. We talk about #Babadook, the decade's scariest movie. Tonight, 9 KSA on #OSN Movies HD. https://t.co/d…"
"RT @osn: You'll see him if you look. We talk about #Babadook, the decade's scariest movie. Tonight, 9 KSA on #OSN Movies HD. https://t.co/d…"
"RT @osn: You'll see him if you look. We talk about #Babadook, the decade's scariest movie. Tonight, 9 KSA on #OSN Movies HD. https://t.co/d…"
"You'll see him if you look. We talk about #Babadook, the decade's scariest movie. Tonight, 9 KSA on #OSN Movies HD. https://t.co/dGUzbKZOcN"
"For those who say ""Babadook"" is Jung for dummies, a movie isn't supposed to be a thesis. Emotive evocations as important as the intellectual"
babadook is probably the most poetic horror movie i've ever seen. it is also relentless and endlessly uneasy.
"""The Babadook"" (2014) is a wonderful movie (A) #ConamaraViews &lt;o46exi&gt;"
A good horror movie? No. The best modern horror movie is Babadook hands down.
I watched that movie the babadook today and I felt like I had seen it before for some reason it was weird 🤔
The Babadook  https://t.co/T4BHMLNVj9 @BledarCepele2 #petsarefound #movieREVIEW
Scary movie..the babadook
"the babadook movie, fucking freak me out 😂"
The Babadook is a horrible movie 😭🙈
Also what weirdo watches The Babadook movie and go “Yeah this person should direct Spider-man now?”
"@MissBrittHayes @JacobSHall @PeterSHall good idea, not so good movie. the Kasich to the Babadook’s Obama."
“Huh. The Babadook is like that Mario Bava movie about the ghost who possesses his son.”-Me realizing I was the monster all along.
"5. The Babadook

I genuinely couldn't sleep the night after watching this movie. Just... Oh my god. https://t.co/i4sIhQwHNk"
@cblack2289 my dog loves watching The Babadook (2014) at https://t.co/eOJEUC3sQb #movie #film #streaming https://t.co/XLmxjZ6OEK
@pmjamilla try The Babadook that movie was damn good
it's actually a horror movie but i find it funny bc of the title and mister babadook's voice 😂
@SatuRuna Oh. I got it. It made the movie VERY visceral. I was rooting for both her and the Babadook. KILL HIM!
"MOVIE THOUGHTS

Finally saw THE BABADOOK... Did anyone else hope the Babadook ate the kid within the first ten minutes?"
"""The Babadook"" (2014) is a really fun movie (A) #ConamaraViews &lt;o449tf&gt;"
"@aadondakis I finished The Babadook today. Wasn't crazy about the end, but the movie was pretty good."
"@Eyelar Watch ""The Babadook"", nice horror movie."
I added a video to a @YouTube playlist https://t.co/PUTZG2phU6 Scariest movie ever -The Babadook full movie
"I watched the Babadook by myself last night. Y'all, that movie still freaks me out but I love it."
Babadook is the scariest movie ever
"#TheWitch is the best horror movie I have seen since The Babadook. Great acting, dialogue and story but the ending could have been better."
RT @ChampThunderCok: The Babadook is an absolutely nuts movie! Highly recommend.
The Babadook is an absolutely nuts movie! Highly recommend.
@shanedawson have you seen the babadook? I wouldn't quite call it a horror movie but it's a work of art!
"""The Babadook"" is a feel-good movie compared to it, which is why I would definitely prefer it lol. Why are Austrian movies so damn bleak"
"RT @NwoodrowN: Nouveau projet pour Jennifer Kent (The Babadook) : The Nightingale, revenge movie situé dans la Tasmanie du XIXe s. https://…"
"Nouveau projet pour Jennifer Kent (The Babadook) : The Nightingale, revenge movie situé dans la Tasmanie du XIXe s. https://t.co/r8rkrFr1Hr"
@indytolson I haven't seen either of those. Another good movie was Steve Jobs and The Babadook and Whiplash!
@brewcrew1988 rewatched The Babadook (2014) at https://t.co/GsqN7BHiQ6 #movie #film #streaming https://t.co/ZTVoZnbLv5
I see why this has been called the Iranian Babadook. Really creepy movie! #SXSW https://t.co/kTO8rYDlYO
You're trapped inside the lasts movie you watched! What… — Well this isn't good... I'm in the babadook world. Now … https://t.co/2jNDEkGdeK
"I enjoyed the Babadook well enough, but got pulled out of the movie every single time it made this noise https://t.co/fX8Hq5zPh8"
The Babadook is my one feared movie that legit gives me nightmares for a week
"If you wanna watch a movie that will scare the hell out of you, watch Babadook!! #CreepyAsHell"
https://t.co/WhjeDh7T9V The Babadook Full Movie #xvideocom #myfirstTweet
You know a horror movie is good when you're scared of what's in the closet afterwards #Babadook
the babadook is the first genuinely scary movie ive seen a long time
The Babadook  https://t.co/T4BHMLNVj9 @BledarCepele2 #petsarefound #movieREVIEW
"""The Babadook"" (2014) is an epic movie (A) #DallasCritic &lt;o4072g&gt;"
the movie The Babadook was weak
"Fun Fact: Before seeing The Babadook, the first movie I've seen that was remotely even close to horror was Cloverfield."
💀🎃Scariest movie ever -The Babadook full movie https://t.co/EvK2bxNVYo μέσω του χρήστη @YouTube😈💀🐲
"""The Babadook"" was scary to me lol but then again my ass just scary 😭 it's a good movie tho.  https://t.co/kANftPwiwd"
RT @MovieDecode: The #Babadook (2014) movie review: https://t.co/AcDOD8DHYI @GoodOnNetflix
The #Babadook (2014) movie review: https://t.co/AcDOD8DHYI @GoodOnNetflix
"Finally saw the Babadook, a horror movie about a monster that's a mash-up of Edward Scissorhands, Batman, Penguin and Beetlejuice #TimBurton"
I added a video to a @YouTube playlist https://t.co/PUTZG2phU6 Scariest movie ever -The Babadook full movie
"RT @JuliHorrorShow: The Babadook #horror #Babadook 
watch movie: https://t.co/K4eFmf3LHf https://t.co/TbbToogRkA"
"RT @JuliHorrorShow: The Babadook #horror #Babadook 
watch movie: https://t.co/K4eFmf3LHf https://t.co/TbbToogRkA"
RT @fantasysite: #top #horror #rental The Babadook - Jennifer Kent https://t.co/2TxbX0ulcx
The Babadook  https://t.co/ckPdW5bQtc @mirandafabiola #keithtvr #petsarefound #movieREVIEW
RT @fantasysite: #top #horror #rental The Babadook - Jennifer Kent https://t.co/2TxbX0ulcx
#top #horror #rental The Babadook - Jennifer Kent https://t.co/2TxbX0ulcx
I added a video to a @YouTube playlist https://t.co/qPZgodoQwq Scariest movie ever -The Babadook full movie
I liked a @YouTube video https://t.co/qPZgodoQwq Scariest movie ever -The Babadook full movie
@Zekseidu the babadook. great movie
RT @MikeyMcCollor: 25 minutes into The Babadook and so far it's not about monsters but being a single mom (still the scariest movie i've se…
25 minutes into The Babadook and so far it's not about monsters but being a single mom (still the scariest movie i've seen in years tho)
The Babadook was a wonderful movie imo. The ending just did it for me.
"The Babadook was pretty much everything I want in a horror movie. (Of course, watching it from our blanket fort might've helped.)"
I liked a @YouTube video from @reignbothorror https://t.co/xexryJ5NsA THE BABADOOK - Horror Movie Review
"📷 Part of my Scary Movie Marathon definitely included “The Babadook,” one of the raved about horror... https://t.co/xHLGSXXnkc"
"the babadook is such a good movie, would highly recommend"
"Just watched The Babadook. Terrific movie, really well constructed."
"The movie ""babadook"" is out of this world scary 😭😭"
"The Babadook - Official Horror Movie Trailer (2014) Essie Davis, Daniel Henshall, Tiffany...
https://t.co/fEf1WRGzpD https://t.co/bqCAZGWQbG"
The Babadook is some crazy shit and I aint done with the movie yet
I've been watching a new movie everyday for the past few days and my options for today are babadook or tropic thunder
"RT @cheliarriaga_: the babadook was literally the worst movie i have ever watched, it was a waste of almost 2 hours of my life"
@taehellno i watched this horror movie 'the babadook' and istg I couldn't sleep last night
The Babadook is probably the weirdest movie I've seen in awhile 🙂
the babadook is such a good movie it's one of the few that actually scared the bejeezus out of me
The Babadook Official Trailer #1 (2014) - Essie Davis Horror Movie HD https://t.co/CR7ujW0R11
