Cantinflas
Yes yea lol finished my English homework on time. Now I'm resting by watching some Cantinflas movie lol xD😂😄 same old Lidia
RT @EmbaMexRus: Do you know where in #CDMX this Cantinflas movie(1939) was filmed? 😯 https://t.co/spagi39gTM Via: @mexdesconocido https://t…
"#Aroundtheworldin80days most american film ever,costars #Cantinflas a Latino.I'm guessing that's wat #trump hated the most about the movie"
Do you know where in #CDMX this Cantinflas movie(1939) was filmed? 😯 https://t.co/spagi39gTM Via: @mexdesconocido https://t.co/6JZWV39YYP
Politicians &amp; political analysts trying to talk #money #finance #investing is like watching #cantinflas movie. Fast talk no clue #GOPDebate
"RT @WisdomReact: When you see this guy in a movie you know bodies are gonna drop left, right and center https://t.co/8DW6170Dxv"
