Stonewall
"""The Way He Looks"" - Movie night at Stonewall Gallery next week, Thursday at 7 pm. Hosted by Larry Ferber. Join... https://t.co/3zsmkT114p"
Great... A trailer for the garbage movie #Stonewall... Please never EVER watch that movie. Definitely the worst film of 2015.
RT @zombie_midgey: @rosalarian things like the stonewall movie make me want to lock white cis gay men away for a while for everyone's own g…
"source

https://t.co/bQcWH4eF3c https://t.co/vRsP8XbhNo"
"Stonewall Official Trailer #1 2015 – Jeremy Irvine, Jonathan Rhys Meyers Movie HD https://t.co/wBfev8D9JV https://t.co/wapEKGXYLM"
@rosalarian things like the stonewall movie make me want to lock white cis gay men away for a while for everyone's own good
"RT @gothjulio: you don't know how angry I am about the stonewall movie, to hear that a movie made about or history was amazing, the whitewa…"
RT @stanleyrogouski: @mirahwood In this case (and in the case of the Stonewall movie) it looks like the director made bad choices. @truth4e…
RT @hellpups: I'm watching the stonewall movie it's been 5 minutes and it's already overwhelmingly horrible and stereotypical but I'll keep…
@Stonewall_Movie amazing !! 😪😪😪 truly touching
Is that Stonewall movie gonna be any good
"RT @fulltvonline: #Movie ""Stonewall Uprising"" (2010) https://t.co/3alIjs6O65"
"#Movie ""Stonewall Uprising"" (2010) https://t.co/3alIjs6O65"
New Queer film lineup at Lincoln Centre makes for a compelling movie checklist: https://t.co/4bfUfxMPR9 https://t.co/8mzwHf34nX
"I liked a @YouTube video https://t.co/BWodRLtOcz Stonewall Official Trailer 1 (2015) - Jonathan Rhys Meyers, Ron Perlman Movie HD"
Watching the movie Stonewall even though I know it's completely inaccurate
I wish they made another movie about the Stonewall Riots and didn't whitewash history...🙄
Beyonce will be old enough to drink. Which is why he's defending the Stonewall movie so much. That'd also be nice. Or give player more
"He also said that whitewashing the Stonewall movie was a ""SUBTLE form of discrimination"" AY DIOS. DEMASCIADO. I NEED TO LIE DOWN"
RT @charllandsberg: @streetswept wait for the Stonewall movie sequel where they will show Tatchell throwing the first shotglass.
"@NZGreens @KevinHague ""Stonewall"", the recent movie about the US experience, hasn't been without its detractors: https://t.co/Wy4sWeDV6M"
have any of you complaining about the Stonewall movie read what Jeremy Irvine had to say about the diversity of the second one
hoolllllllly shit i'm writing a paper about film as activism and i am TEARING THAT STONEWALL MOVIE A NEW ONE and i am amped
@streetswept wait for the Stonewall movie sequel where they will show Tatchell throwing the first shotglass.
@jgliddz18 they used the same prison cell from the original Saw movie
@michaelkeyes @Stonewall_77 Haha is that from a movie?
"I liked a @YouTube video https://t.co/6D4bKMfPCB Stonewall Official Trailer 1 (2015) - Jonathan Rhys Meyers, Ron Perlman Movie HD"
Isn't this from the Stonewall movie?  https://t.co/vTYuo2SEop
"#JeremyIrvine, @ohABIT &amp; @JonnyBeauchamp in the Stonewall movie (2015) #Danny #Marsha #Ramona https://t.co/xkrch3Z3Nc"
Shame Gay activists never made so much fuss over that awful Stonewall movie that whitewashed history  https://t.co/THFtZyWpai
@Dan_a_ that and the stonewall movie just sound like a mess I don't want to subject myself to
"Watching #stonewall 2015 for the first time. All political and historical issues aside, this is a good ass movie."
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
@Stonewall_Movie This got horrible reviews. I just watched it on DVD. It may not historically but it was not the worst movie I ever saw
"RT @ZALEEL_: hermoine is emma watson irl personified, harry is turn arnd n die, dumbledore is th stonewall riots movie, luna's lost in the …"
"hermoine is emma watson irl personified, harry is turn arnd n die, dumbledore is th stonewall riots movie, luna's lost in the new rave sauce"
Just look at that Stonewall movie. Glad it flopped  https://t.co/j1jG01l8jz
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
I was at the Stonewall riots. The movie 'Stonewall' gets everything wrong https://t.co/NAc9lSUe0K via @NewsHour
"First Single from Yoona Girls' Generation ...
😍😍😍😍😍😍😍😍😍😍😍😍😘😘😘😘😘😘😘😘😘😘😘
Title:Deoksugung Stonewall… https://t.co/WmxGUVqZck"
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
"First we get a white cast for that Stonewall movie, then Sam Smith thinks he's the first gay Oscar winner in history, now Hillary says this?"
RT @jenlabarbera: Can't wait for the Hollywood movie a la Stonewall abt the Reagans' stellar advocacy efforts during the early days of AIDS…
RT @jenlabarbera: Can't wait for the Hollywood movie a la Stonewall abt the Reagans' stellar advocacy efforts during the early days of AIDS…
Can't wait for the Hollywood movie a la Stonewall abt the Reagans' stellar advocacy efforts during the early days of AIDS in the US. 😒
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
@ADuralde Have you even watched the movie Stonewall? Things were fine!
Just like this white washed movie image you used started Stonewall. Hilarious.  https://t.co/fHl94MktJj
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
Just like this whitewashed movie started #Stonewall https://t.co/fHl94MktJj
RT @meakoopa: Recasting Nancy Reagan &amp; @HillaryClinton as LGBT heroes is like if in the #STONEWALL movie Anita Bryant threw the first brick…
