Straight Outta Compton
"Me: Do you have any copies of that new movie, ""Compton""?
Best Buy clerk: Straight Outta Compton?
Me: Oh, that's too bad! Thanks anyway!"
"Don’t miss BARC’s Movie Night tonight at 8:00pm Straight Outta Compton, Austin Auditorium https://t.co/k4pL31kMPG"
@thedaishiaa Terrence Howard said this in a movie...Straight Outta Compton?
@icecube just bought straight outta Compton on blu ray today and still Love this Movie &lt;3 much Love from Germany
"It's a great movie""@Ntombi_NGB: Just watched Straight Outta Compton and I don't believe I enjoyed it as much as I did."""
"Watching straight outta Compton, @hunter_whittle really wants to be in the movie... Every song he bumpin his head and singing 😂"
Straight Outta Compton was movie of the year no competition
"i just watch Straight Outta Compton, the movie have the best soundtrack ever. #ThatShitWasDope"
KILLER DEAL!! Get #StraightOuttaCompton (Unrated Director's Cut) by @FGaryGray for $4.99 @iTunesMovies  https://t.co/CZ4j58qS4L
Straight Outta Compton is the best movie ever made
Straight outta Compton hands down best movie I've seen this year!!!
"For those interested, Straight Outta Compton is only $4.99 right now. 

https://t.co/V2m2KCRlSC"
"Which trailer did YOU see for the movie Straight Outta Compton?
It depends.
Are you black or white?... https://t.co/zzD9yFlTgJ"
Why Straight Outta Compton Created Different Trailers For Different Racial Groups:  While i... https://t.co/X42l4irUl5 #movie #tv #celebs
RT @emilyrl3: Straight outta Compton is a seriously good movie
"RT @MarkDMill: Straight Outta Compton, now $4.99! (orig $14.99)

https://t.co/mvfzte5UJo
#MovieDeals"
"I could watch Straight Outta Compton all day, it's such a good movie"
RT @emilyrl3: Straight outta Compton is a seriously good movie
RT @emilyrl3: Straight outta Compton is a seriously good movie
"Straight Outta Compton, now $4.99! (orig $14.99)

https://t.co/mvfzte5UJo
#MovieDeals"
Movie studio engages in......demographic selective marketing. NEWS AT 11. lol https://t.co/TsSDwQOJ6u
Straight outta Compton is a seriously good movie
straight outta compton is an amazing movie
FB now showing people different movie trailers based on whether they're white or black ugh i hate hate this https://t.co/Pe8MSMF15z
RT @ResearchBuzz: Facebook showed different movie trailers based on viewer's race - https://t.co/NgFYwJdwWz #racism #stupidness
Facebook showed different movie trailers based on viewer's race - https://t.co/NgFYwJdwWz #racism #stupidness
"Cynical movie marketing

https://t.co/cxOb5jhbFZ"
@mcrencpt @WESTCOASTDOC @DJYELLAOFNWA Best movie of 2015 for $5!! https://t.co/SjklWMGkvC #StraightOuttaCompton
[Buzz60] Straight Outta Compton had different Facebook trailers for different races: The megahit movie Straight… https://t.co/oBvUNJbsmn
RT @IsimaOdeh: Straight Outta Compton is a well written and well delivered movie.
Straight Outta Compton is a well written and well delivered movie.
"RT @icecube: ""...Let them know they ain't seen you yet."" @OsheaJacksonJr https://t.co/4i8oege9kE https://t.co/ebxFnKeXOh"
THE MIDNIGHT MOVIE ON THE BOAT TONIGHT IS STRAIGHT OUTTA COMPTON THEY KNOW ME
RT @Kristinn_696: Straight outta Compton was such a bomb ass movie omg
#movie Straight Outta Compton Full Movie https://t.co/PmR1o0C4al #trailer
"RT @GoIntoTheStory: Download 150+ movie scripts from last 5 years including Straight Outta Compton, The Diary of a Teenage Girl https://t.c…"
"RT @GoIntoTheStory: Download 150+ movie scripts from last 5 years including Straight Outta Compton, The Diary of a Teenage Girl https://t.c…"
"-
فلم Straight Outta Compton
دراما | موسيقى 
السنة : 2015
التقييم : 8.1 /10
https://t.co/0GMbDwJXjq… https://t.co/4WqyEdvYTK"
Finally watched Straight Outta Compton. That was one fantastic movie @icecube @drdre
Race-specific movie trailers (via @paulconstant): https://t.co/xhuaUJWf3a #iwaspromisedflyingcars
"Download 150+ movie scripts from last 5 years including Straight Outta Compton, The Diary of a Teenage Girl https://t.co/ibOXxV1F6V"
Straight Outta Compton (2015) โดย F. Gary Grayz.zeizsd https://t.co/hRlSREAStC https://t.co/VaTncmQpRN
Straight Outta Compton is a great movie that shows how brutal the police treat the community
"Straight Outta Compton was more of a ""People we Love"" movie than a Great movie. Great Camera work though"
Movie marketers targeted social media  users by race despite that not being a demographic that Facebook filters on https://t.co/h5hCdTIwTt
#взаимно Straight Outta Compton (5/10) Movie CLIP - Police Harassment (2015) HD https://t.co/MFgRbbQKt7
"Straight outta Compton like my favorite movie, no lie 🐐"
"The way they portray Jerry Heller on Straight Outta Compton 😂😂😂😂

And the Suge Knight on this movie looks like Patrick from Spongebob 😂😂😂"
"""a victory for race-specific marketing"" #WTF Oh, and the movie was terrible, btw .. @UniversalPics @facebook https://t.co/w3eEvPvqik"
RT @oldman_acid: straight outta Compton is such an influential movie. yeah it's dope af but it's more than that. it speaks volumes.
RT @ThugLifeSocial: .@mcrencpt - MY EXCLUSIVE INTERVIEW WITH #NWA’s MC Ren on “Straight Outta Compton” https://t.co/tVGt69HaYN https://t.co…
RT @therealjuicyj: Straight outta Compton was my favorite movie last year  it was more than just a rap movie it was about real life situati…
Guy who played Snoop Dogg x Straight Outta Compton and the bully x Dope is underrated af. His role in that movie was 🔥
"""There's no price on a peace of mind"" 

Movie quote frm #drdre to gayass suge

#Straight #outta #Compton"
A TUPAC MOVIE Is Already Being Made By Boyz N The Hood Director and Actor Who Played Pac in Straight Outta Compton  https://t.co/aiueuCPzK7
"Straight Outta Compton is a good movie. Also, I've been drinking all day."
RT @oldman_acid: straight outta Compton is such an influential movie. yeah it's dope af but it's more than that. it speaks volumes.
straight outta Compton is such an influential movie. yeah it's dope af but it's more than that. it speaks volumes.
First time seeing straight outta Compton that shit right there was prob the best movie I've seen in a long as time
I liked a @YouTube video https://t.co/RfnA6xPQqE Straight Outta Compton (5/10) Movie CLIP - Police Harassment (2015) HD
RT @p0isoness: Straight outta compton was real af. That movie opened my eyes fr
straight outta compton is such a good movie
The songs in Straight Outta Compton make the movie better
This movie sucked and this is a very strange way to market a film. Facebook is sus.  https://t.co/Mb4b31NJpw
"I love straight outta compton, will forever be my fav movie"
RT @p0isoness: Straight outta compton was real af. That movie opened my eyes fr
Straight outta compton was real af. That movie opened my eyes fr
"I'm gonna watch Straight Outta Compton, I have really high hopes for this movie."
"RT @drdre: #StraightOuttaCompton
Get the Unrated Director's cut now on @iTunesMovies.
https://t.co/OxmCfdgeFF https://t.co/zzmh1DX8R4"
"RT @drdre: #StraightOuttaCompton
Get the Unrated Director's cut now on @iTunesMovies.
https://t.co/OxmCfdgeFF https://t.co/zzmh1DX8R4"
