The Water Diviner
"Friday night is movie night - options:
A) Steve Jobs
B) Water Diviner
C) Scouts Guide to the Zombie Apocalypse

You have 15 mins...#choose"
@maddbrrown It reminded me The Water Diviner... An amazing movie! @russellcrowe you're amazing! 🌟😀❤️ https://t.co/DdkhLWgrkn
"Just finished watching ""The Water Diviner."" Excellent movie."
Watching this great movie 'The Water Diviner' (Son Umut) for the 3rd time was great.(esp. on this special day) #ÇanakkaleDemek @russellcrowe
The water diviner was a good movie.
"RT @CiddiyetXL: Movie | ""The Water Diviner"" (2014) | Director: Russell Crowe | Trailer: https://t.co/HQtraXNtyI"
"Movie | ""The Water Diviner"" (2014) | Director: Russell Crowe | Trailer: https://t.co/HQtraXNtyI"
"(The Water Diviner Movie CLIP - Dust Storm (2014) - Russell Crowe, Jai Courtney Drama... https://t.co/zlc23f6UTp"
(The Water Diviner Movie CLIP - The Only Father Who Came Looking (2014) - Russell Crowe Movie... https://t.co/E1mvdIyPqv
RT @TV10UltraMovies: SATNETV GlobalUltraMoviesExtra https://t.co/KRlnVi5wGt #THEWATERDIVINER @russellcrowe https://t.co/jvKs43mrCr iTunes h…
"Watched the Water Diviner great movie 
Russell Crowe gives a solid performance in this one"
https://t.co/WhjeDh7T9V The Water Diviner Full Movie #xvideocom #myfirstTweet
"The Water Diviner
Drama
99p Rent
https://t.co/MqPpZyyIby
#iTunes #Film #Rental #UK"
"The Water Diviner
Drama
€0.99 Rent
https://t.co/GcQ0P9mrrS
#iTunes #Film #Rental #Ireland"
The Water Diviner  https://t.co/4dHxtMlFBi  @WhoseApple #Movie
The Water Diviner  https://t.co/8dqpUaPjiz  @s29367163 #Movie
(The Water Diviner Featurette - What is Water Divining? (2014) - Russell Crowe Movie... https://t.co/qdIvGH8Ryu
