Grandma
Somebody's grandma couldn't sit through a whole movie without using her cell phone to check email. #grandmasaddicted #turnoffyourphone
My grandma gets so pissed bc every time I walk in on her watching a lifetime movie I predict the ending in under one minute
Chase's Corner: SNOOPY SNOW CONES w/ GRANDMA + The Peanuts Movie Games &amp; Magic (#23) | DOH MUCH FUN https://t.co/uWC8LlWmW8
"@missesavila1 thanks, I treated grandma to ihop and a movie too (it's her birthday)"
my grandma wants to take me to see a movie tomorrow she is so cute
@PPWWrestling1 @KekoaPro @SammiPandora flying Hawaiian my boy kekoa you ever see grandma's boy movie? Good times bro
"I was so excited when I first heard about his filming first movie, I told my grandma even though she didn't get what I said haha"
"Krisha Movie CLIP - Grandma (2016) - Chris Doubek, Bill Wise Movie HD - https://t.co/V9hANJGnIZ https://t.co/YefTZbS8sB"
you guys think I'm a grandma? my coworker just said 9pm on a Friday is too late for a movie 😳🙄🙄🙄🙄
My grandma was gonna take me to qdoba and a movie and she just left 😑
"no. I haven't read the book. that would kinda ruin the movie now wouldn't it, grandma?"
About to mix the dry ingredients when my grandma looks over but it is already dated and the movie isn't even out yet
"""If Grandma is so brilliant, how come she's sitting in the neighbor's car?"" #movie PARENTHOOD"
I'm a grandma. I can't go to the movies too late because I end up falling asleep no matter how good the movie is hahaha 👵🏻👵🏻👵🏻
"RT @1Force: Going to #Ardaas #movie tonight in NJ w/ grandma, wife &amp; kids @igippygrewal @Mandy_Takhar @gurpreetghuggi @AmmyVirk https://t.c…"
@jk_rowling I grew up on HP and after my grandma passed its how I remember her. We shared every book and movie together
I loved the Addams family movie the cast was beautifully portrayed. Gomez mortisha uncle fester grandma lurch the kids.
[Best Discount] Girl Loves Her MOVIE ACTRESS - (Cua-Tshirts https://t.co/AIlflRqjY0 #camera #grandma #grandpa #lifestyle #military #states
Whoa...grandma??? Why are you encouraging murder???? This movie...
So i told my grandma i was going to come take a nap and this heffa want to go watch a movie 😒
"RT @1Force: Going to #Ardaas #movie tonight in NJ w/ grandma, wife &amp; kids @igippygrewal @Mandy_Takhar @gurpreetghuggi @AmmyVirk https://t.c…"
@crupicrupicrupi I watched that movie every time I went to my grandma and grandpa’s house; grandpa dubbed a VHS for me
@thoughtcrime69 ugh whatever I'll go with the movie name
"RT @1Force: Going to #Ardaas #movie tonight in NJ w/ grandma, wife &amp; kids @igippygrewal @Mandy_Takhar @gurpreetghuggi @AmmyVirk https://t.c…"
"Going to #Ardaas #movie tonight in NJ w/ grandma, wife &amp; kids @igippygrewal @Mandy_Takhar @gurpreetghuggi @AmmyVirk https://t.co/ZeHHRTtPz4"
"RT @KimTZulkowski: Loretta Devine starring as ""Grandma"" Margie Ree Harris  in the Grandma's House Movie. It's getting real Ya'll! https://t…"
RT @RRShawndeon: Is it possible to make a movie that both feels like a hug from grandma and is as thrilling a rollercoaster?
"Krisha Movie CLIP - Grandma (2016) - Chris Doubek, Bill Wise Movie HD - https://t.co/V9hANJGnIZ https://t.co/31MM62XQsv"
"One movie down &amp; the next, Great acting, story line was good loved #Grandma
https://t.co/CZyY5hAoQr #movies"
"I liked a @YouTube video https://t.co/UVhxpc0NJj ""คนเก่งของยาย : My Grandma"" [Official HD] : SenzE Movie by"
RE: 孫娘の中絶費用を求めて奮闘するおばあちゃんを描いた『Grandma』がヒット -... https://t.co/SFhzql4MJ4 https://t.co/h8uOXGvhGd
RT @leggomyborrego: My grandma narrates everything when she watches a movie😒
Is it possible to make a movie that both feels like a hug from grandma and is as thrilling a rollercoaster?
"Movie Review: The Confirmation: After “Tammy,” “Grandma” and “Nebraska” (to name just a few), the cros... https://t.co/QFVq4OhljZ #Movies"
"RT @popcornfeed: Krisha Movie CLIP - Grandma (2016) - Chris Doubek, Bill Wise Movie HD - https://t.co/V9hANJGnIZ https://t.co/uzylWtrIXJ"
"Movie Review: The Confirmation: After “Tammy,” “Grandma” and “Nebraska” (to name just a few), the cros... https://t.co/GrVMyILYiD #Movies"
Sleeping with my grandma tonight cause she just watched a scary movie 🙄
RT @bobsmileycomic: Grandma to 3 grandkids outside the movie theater: ‘Don’t run out in the street!! I care about two of you!’ #sogreat
@EBatterson @SallyMcD1 What are you? The dork programmer J.P. portrayed in the stoner movie Grandma's Boy?
"Krisha Movie CLIP - Grandma (2016) - Chris Doubek, Bill Wise Movie HD - https://t.co/V9hANJGnIZ https://t.co/uzylWtrIXJ"
I'm watching this movie an its so awkward bc the grandma thinks her grandkids were gonna have sex
"RT @TheRealCocoJ: So excited-my new movie comin out..""Grandma's House"" Trailer https://t.co/PQlhU38lcc #grandmashouse #GMHFilm"
"My grandma shouted "" vote for trump"" when it was quiet in the movie theatre"
My grandma said this movie was scary 😒
dinner and movie night with my grandma and grandpa 💕
@NailsBy_LaLa she be the grandma in every movie
Movie night with my grandma and I couldn't be more excited ❤️😇
"*In the movie theatre*
Old lady: shut up, fuck u
everyone: the movie didn't even start grandma calm down omg https://t.co/YehhhPflnX"
My grandma is forcing me to sit through the bee movie. 😩😩😩
@AComicBookGeek The movie completely leaves out the grandma's arc.
no way my grandma just gave me movie tickets 😁😁😁
"@Spacekatgal This looks like a scene out of a horror movie about like, demons haunting your computer or your dead Grandma e-mailing you."
My grandma went to Deadpool mistaking it for a movie about orphans and now she's scarred 😂
Movies with my grandma in the oldest movie theater in Texas https://t.co/sF1VIez92E
https://t.co/SAgOOjD7Xq Grandma Full Movie #bestmovie #youtube
"My #Character Lil Man....
A movie coming on &amp; they advised #ParentalDiscretion 
So Lil Man said: ""I better ask Grandma if u can watch this"""
Grandma's Boy is my favorite movie
Finian's Rainbow comes on soon!  I love this movie like it's my grandma.  So excited! #TCMParty
"Krisha Movie CLIP - Grandma (2016) - Chris Doubek, Bill Wise Movie HD - https://t.co/V9hANJGnIZ https://t.co/cqrEgJHqSR"
@SCAREAHKELLEY update my grandma just shared the trailer to seth rogan's movie about the foods that can talk
My grandma just hangs up like she's in a movie. Doesn't even say bye smh
"RT @PurpleRodri: Me: Hey Grandma you want to watch a movie about this pretty doll?
Grandma: Yeah sure lets watch it https://t.co/776KnSpGFF"
GRANDMA Movie Trailer (Comedy - 2015) - https://t.co/MmGm9vxmO8 https://t.co/KkW8PM720Z
"#72HourBoycott means, instead of angrily yelling at strangers, go outside. Read a book. Hug your Grandma. Go to a movie. #WeSupportHrithik"
What is that movie grandma is watching!
my grandma made me get COMPLETELY ready for a movie that doesn't start till 1:45…
[Best Discount] People call me MOVIE PRODUCER most importan https://t.co/kJb28UdoDs #camera #grandma #grandpa #lifestyle #military #states
@LoveKayy___ we was deaaaadd at that movie yesterday. The grandma kept walking in rooms randomly on some creepy shit.
"Krisha Movie CLIP - Grandma (2016) - Chris Doubek, Bill Wise Movie HD - https://t.co/V9hANJGnIZ https://t.co/XJYX5PKWc6"
"They constantly flee this Grandma with a weird hatred of alligators, see the movie to see how it ends!"
"My grandma on my mom's side looked like Bessie Smith sort of!  Yay, you played my grandma in the movie.  She was lighter.  @IAMQUEENLATIFAH"
I'm gonna be a #goodtime when you replace Grandma's peanut M&amp;Ms with Warheads in a dark movie theater.
Trailers before the movie were surreal tonight. New x men and Star Trek felt like weird knockoffs that sell bc grandma accidentally buys em
"Krisha Movie CLIP - Grandma (2016) - Chris Doubek, Bill Wise Movie HD - https://t.co/V9hANJGnIZ https://t.co/YnQNbGSdXm"
"RT @GrandmasHouse16: Loretta Devine starring as ""Grandma"" Margie Ree Harris  in the Grandma's House Movie. It's getting real Ya'll! https:/…"
"RT @KimTZulkowski: Loretta Devine starring as ""Grandma"" Margie Ree Harris  in the Grandma's House Movie. It's getting real Ya'll! https://t…"
"Loretta Devine starring as ""Grandma"" Margie Ree Harris  in the Grandma's House Movie. It's getting real Ya'll! https://t.co/GJukgCR70h"
"Loretta Devine starring as ""Grandma"" Margie Ree Harris  in the Grandma's House Movie. It's getting real Ya'll! https://t.co/QwR7feNznJ"
@temposol @CynicalCycle @1DupdatesUSA I do also my grandma was from there then movie to cali had 2 more kids idk them just know they there
RT @Dereck_Dos4: @kaseydee13 you &amp; my grandma are the only people I know that have watched that movie😂
@kaseydee13 you &amp; my grandma are the only people I know that have watched that movie😂
"So my grandma, is actually watching an action movie. 😂"
I'm watching Room again so my grandma could watch it and I forgot how sad this movie is ugh I'm emo
"RT @PurpleRodri: Me: Hey Grandma you want to watch a movie about this pretty doll?
Grandma: Yeah sure lets watch it https://t.co/776KnSpGFF"
"@RonnieBooBoo_ what's weird is that that hana played as the young version of Chandler's grandma (who's imaginary ) in the movie, mercy!"
Can someone give Frances Conroy a 45 Years or an I'll See You in My Dreams or a Grandma? Something where she can really shine I'm a movie
"*turns on gravity* grandma: ""I've wanted to see this movie for a long time!"" *sits on her iPad the entire movie*"
@amyschumer today I watched a movie in history and one of the women looked like you. It made me want to pay attention😂
"@FreshOffABC @originalspin Also, what movie was Grandma watching?"
"RT @PurpleRodri: Me: Hey Grandma you want to watch a movie about this pretty doll?
Grandma: Yeah sure lets watch it https://t.co/776KnSpGFF"
"Me: Hey Grandma you want to watch a movie about this pretty doll?
Grandma: Yeah sure lets watch it https://t.co/776KnSpGFF"
my grandma called me JUST to tell me harry styles was going to be in a movie
"illiriks russian grandma gave him $2.50 is quarters to pay for a movie ticket

he wound up using that movie ro py for parking at unc"
"Grandma Official Trailer 1 (2015) - Lily Tomlin, Julie Garner Movie HD https://t.co/lSL6Cp2TOF vía @YouTube"
"Krisha Movie CLIP - Grandma (2016) - Chris Doubek, Bill Wise Movie HD - https://t.co/V9hANJGnIZ https://t.co/e5x6cOyQMV"
My grandma has no movie channels what is she doing with her life?!
My grandma is hella sick but still funny as hell. I feel like I'm watchin a live version of the movie Life 😂😂😂
My grandma is really crying watching this movie 😂😂😂
@FreshOffABC What was the name of the Chinese movie that Grandma was watching? My dad thought he figured it out but I wanted to check w/you.
Thoughts? Reminds me of the Grandma boy movie  https://t.co/NGPBkjxDcX via @macworld
