Savage High
Just watched a savage ass movie on Netflix. Was so high a g almost shed a tear. I kept my composure though.
RT @zakeise: when you thought this movie was for kids 😂🤔 https://t.co/XePFVXERDa
RT @neeeeeeek_: The only move is Mansion Elan tonight.. 📍21 savage coming so you know it's finna be a movie 🙌🏾
