id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross,sentiment
153,American Ultra,2015,Aug,Action,R,96,English,Nima Nourizadeh,Max Landis,Jesse Eisenberg,50,61,"44,683",28000000,14434604,26.0
154,Muppets Most Wanted,2014,Mar,Adventure,PG,107,English,James Bobin,James Bobin,Ricky Gervais,61,65,"23,290",50000000,51178893,26.0
155,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Oct,Comedy,PG,81,English,Miguel Arteta,Rob Lieber,Steve Carell,54,62,"27,800",28000000,66950483,-30.0
156,Horrible Bosses 2,2014,Nov,Comedy,R,108,English,Sean Anders,Sean Anders,Jason Bateman,40,63,"105,376",42000000,54414716,-39.0
157,90 Minutes in Heaven,2015,Sep,Drama,PG-13,121,English,Michael Polish,Don Piper,Hayden Christensen,28,46,"1,680",5000000,4700361,22.0
158,Whiplash,2014,Oct,Drama,R,107,English,Damien Chazelle,Damien Chazelle,Miles Teller,88,85,"358,966",3300000,13092000,42.0
159,13 Sins,2014,Apr,Horror,R,93,English,Daniel Stamm,David Birke,Mark Webber,44,63,"22,250",4000000,9134,43.0
160,When the Game Stands Tall,2014,Aug,Drama,PG,115,English,Thomas Carter,Scott Marshall Smith,Jim Caviezel,41,67,"11,817",15000000,29224234,3.0
161,Danny Collins,2015,Apr,Comedy,R,106,English,Dan Fogelman,Dan Fogelman,Al Pacino,58,71,"18,347",10000000,5348317,33.0
162,Project Almanac,2015,Jan,Sci-Fi,PG-13,106,English,Dean Israelite,Jason Pagan,Jonny Weston,47,64,"52,591",12000000,22331028,22.0
163,My Old Lady,2014,Nov,Comedy,PG-13,107,English,Israel Horovitz,Israel Horovitz,Kevin Kline,52,63,"5,125",5000000,1474563,17.0
164,Penguins of Madagascar,2014,Nov,Animation,PG,92,English,"Eric Darnell, Simon J. Smith",Michael Colton,Tom McGrath,53,67,"56,726",132000000,83348920,39.0
165,How to Be Single,2016,Feb,Comedy,R,110,English,Christian Ditter,Abby Kohn,Dakota Johnson,51,63,"5,292",38000000,18750000,6.0
166,The Gallows,2015,Jul,Horror,R,81,English,"Travis Cluff, Chris Lofing",Travis Cluff,Reese Mishler,30,43,"11,177",100000,22757819,-16.0
167,Ouija,2014,Oct,Horror,PG-13,89,English,Stiles White,Juliet Snowden,Olivia Cooke,38,44,"29,590",5000000,50856010,-2.0
168,Jack Ryan: Shadow Recruit,2014,Jan,Action,PG-13,105,English,Kenneth Branagh,Adam Cozad,Chris Pine,57,62,"95,838",60000000,50549107,31.0
169,The Maze Runner,2014,Sep,Action,PG-13,113,English,Wes Ball,Noah Oppenheim,Dylan O'Brien,56,68,"293,462",34000000,102413606,20.0
170,Escobar: Paradise Lost,2014,Jun,Crime,R,120,English,Andrea Di Stefano,Andrea Di Stefano,Benicio Del Toro,56,66,"12,318",17000000,106869,-19.0
171,Sabotage,2014,Mar,Action,R,109,English,David Ayer,Skip Woods,Arnold Schwarzenegger,41,57,"45,389",35000000,10508518,11.0
172,Final Girl,2015,Aug,Action,R,90,English,Tyler Shields,Adam Prince,Abigail Breslin,N/A,46,"5,533",8000000,5500000,4.0
173,"Hail, Caesar!",2016,Feb,Comedy,PG-13,106,English,"Ethan Coen, Joel Coen",Joel Coen,Josh Brolin,72,68,"22,306",22000000,21354970,25.0
174,Black Mass,2015,Sep,Biography,R,123,English,Scott Cooper,Mark Mallouk,Johnny Depp,68,70,"86,586",65000000,62563543,22.0
175,Maze Runner: The Scorch Trials,2015,Sep,Action,PG-13,132,English,Wes Ball,T.S. Nowlin,Dylan O'Brien,43,64,"111,679",61000000,81687587,23.0
176,Run All Night,2015,Mar,Action,R,114,English,Jaume Collet-Serra,Brad Ingelsby,Liam Neeson,59,66,"68,905",50000000,26442251,40.0
177,Paranormal Activity: The Ghost Dimension,2015,Oct,Horror,R,88,English,Gregory Plotkin,Jason Pagan,Chris J. Murray,30,45,"11,713",10000000,18247445,-4.0
178,Son of God,2014,Feb,Biography,PG-13,138,English,Christopher Spencer,Richard Bedser,Sebastian Knapp,37,55,"14,827",22000000,59666589,28.0
179,The Peanuts Movie,2015,Nov,Animation,G,88,English,Steve Martino,Bryan Schulz,Trombone Shorty,67,73,"18,928",99000000,129984193,40.0
180,Anomalisa,2015,Jan,Animation,R,90,English,"Duke Johnson, Charlie Kaufman",Charlie Kaufman,David Thewlis,88,75,"15,639",8000000,2233178,21.0
181,Skin Trade,2014,Apr,Action,R,96,English,Ekachai Uekrongtham,Steven Elder,Dolph Lundgren,39,57,"4,677",9000000,1242,35.0
182,22 Jump Street,2014,Jun,Action,R,112,English,"Phil Lord, Christopher Miller",Michael Bacall,Jonah Hill,71,71,"243,361",50000000,188441614,27.0
183,A Long Way Off,2014,Jun,Drama,PG,105,English,"Michael Davis, John Errington",Jon Macy,Robert Davi,N/A,46,107,500000,27013,-1.0
184,Fifty Shades of Black,2016,Jan,Comedy,R,92,English,Michael Tiddes,Marlon Wayans,Marlon Wayans,28,34,"3,035",5500000,9371544,-2.0
185,Annabelle,2014,Oct,Horror,R,99,English,John R. Leonetti,Gary Dauberman,Annabelle Wallis,37,54,"73,657",6500000,84027366,-0.0
186,Tomorrow,2016,Sep,Drama,PG,103,English,Joseph Anthony,William Faulkner,Robert Duvall,N/A,78,753,2000,1447,24.0
187,Creed,2015,Nov,Drama,PG-13,133,English,Ryan Coogler,Ryan Coogler,Michael B. Jordan,82,78,"97,797",35000000,108988796,37.0
188,The SpongeBob Movie: Sponge Out of Water,2015,Feb,Animation,PG,92,English,"Paul Tibbitt, Mike Mitchell",Glenn Berger,Antonio Banderas,62,60,"31,734",74000000,162495848,35.0
189,The Theory of Everything,2014,Nov,Biography,PG-13,123,English,James Marsh,Anthony McCarten,Eddie Redmayne,72,77,"244,595",15000000,35887263,40.0
190,God's Not Dead,2014,Mar,Drama,PG,113,English,Harold Cronk,Hunter Dennis,Kevin Sorbo,16,50,"28,133",2000000,60753735,26.0
191,Unfinished Business,2015,Mar,Comedy,R,91,English,Ken Scott,Steve Conrad,Vince Vaughn,32,54,"20,531",35000000,10214013,43.0
192,Planes: Fire & Rescue,2014,Jul,Animation,PG,83,English,Roberts Gannaway,Roberts Gannaway,Dane Cook,48,60,"11,710",50000000,58646919,62.0
193,Sin City: A Dame to Kill For,2014,Aug,Crime,R,102,English,"Frank Miller, Robert Rodriguez",Frank Miller,Mickey Rourke,46,65,"103,177",65000000,13757804,33.0
194,Teenage Mutant Ninja Turtles,2014,Aug,Action,PG-13,101,English,Jonathan Liebesman,Josh Appelbaum,Megan Fox,31,59,"157,045",125000000,191204754,16.0
195,Let's Be Cops,2014,Aug,Comedy,R,104,English,Luke Greenfield,Luke Greenfield,Jake Johnson,30,65,"101,760",17000000,79628884,27.0
196,Scouts Guide to the Zombie Apocalypse,2015,Oct,Action,R,93,English,Christopher Landon,Carrie Lee Wilson,Tye Sheridan,32,63,"17,684",15000000,3635292,29.0
197,John Wick,2014,Oct,Action,R,101,English,"Chad Stahelski, David Leitch",Derek Kolstad,Keanu Reeves,68,72,"230,206",20000000,43037835,28.0
198,Our Brand Is Crisis,2015,Oct,Comedy,R,107,English,David Gordon Green,Peter Straughan,Sandra Bullock,53,60,"5,244",28000000,6998324,26.0
199,Jersey Boys,2014,Jun,Biography,R,134,English,Clint Eastwood,Marshall Brickman,Vincent Piazza,54,69,"24,112",40000000,46222854,40.0
200,Insurgent,2015,Mar,Adventure,PG-13,119,English,Robert Schwentke,Brian Duffield,Kate Winslet,42,63,"135,211",110000000,129995817,26.0
201,Deadpool,2016,Feb,Action,R,108,English,Tim Miller,Rhett Reese,Ryan Reynolds,65,86,"145,561",58000000,135050000,32.0
202,Captain America: The Winter Soldier,2014,Apr,Action,PG-13,136,English,"Anthony Russo, Joe Russo",Christopher Markus,Chris Evans,70,78,"444,741",170000000,259766572,36.0
203,Legend,2015,Nov,Biography,R,132,English,Brian Helgeland,Brian Helgeland,Paul Anderson,55,70,"65,759",30000000,1872994,30.0
204,Brothers,2015,Dec,Drama,R,105,English,Jim Sheridan,David Benioff,Tobey Maguire,58,71,"85,404",10205000,266175,47.0
205,Dawn of the Planet of the Apes,2014,Jul,Action,PG-13,130,English,Matt Reeves,Mark Bomback,Andy Serkis,79,76,"303,214",170000000,208545589,41.0
206,Endless Love,2014,Feb,Drama,PG-13,104,English,Shana Feste,Shana Feste,Alex Pettyfer,30,63,"29,176",20000000,23393765,26.0
207,Ricki and the Flash,2015,Aug,Comedy,PG-13,101,English,Jonathan Demme,Diablo Cody,Meryl Streep,54,60,"11,217",18000000,26822144,33.0
208,The Imitation Game,2014,Dec,Biography,PG-13,114,English,Morten Tyldum,Graham Moore,Benedict Cumberbatch,73,81,"423,456",14000000,91121452,17.0
209,Deliver Us from Evil,2014,Jul,Horror,R,118,English,Scott Derrickson,Scott Derrickson,Eric Bana,40,62,"51,729",30000000,30523568,-20.0
210,Max,2015,Jun,Adventure,PG,111,English,Boaz Yakin,Boaz Yakin,Thomas Haden Church,47,68,"15,712",20000000,42652003,11.0
211,Paper Towns,2015,Jul,Drama,PG-13,109,English,Jake Schreier,John Green,Nat Wolff,56,64,"52,522",12000000,31990064,20.0
212,The Gambler,2014,Dec,Crime,R,111,English,Rupert Wyatt,William Monahan,Mark Wahlberg,55,60,"45,381",25000000,33631221,27.0
213,Heaven Is for Real,2014,Apr,Drama,PG,99,English,Randall Wallace,Randall Wallace,Greg Kinnear,47,58,"20,049",12000000,91386097,30.0
214,The Lego Movie,2014,Feb,Animation,PG,100,English,"Phil Lord, Christopher Miller",Phil Lord,Will Arnett,83,78,"236,500",60000000,257716507,24.0
215,Americons,2015,Jan,Action,R,88,English,Theo Avgerinos,Beau Martin Williams (writer,Beau Martin Williams,25,69,59,400000,122410,0
216,Boyhood,2014,Aug,Drama,R,165,English,Richard Linklater,Richard Linklater,Ellar Coltrane,100,80,"253,937",4000000,25359200,19.0
217,Fury,2014,Oct,Action,R,134,English,David Ayer,David Ayer,Brad Pitt,64,76,"281,882",68000000,85817906,5.0
218,The Fault in Our Stars,2014,Jun,Drama,PG-13,126,English,Josh Boone,Scott Neustadter,Shailene Woodley,69,79,"232,083",12000000,124853062,32.0
219,Annie,2014,Jun,Comedy,PG,127,English,John Huston,Carol Sobieski,Albert Finney,39,65,"29,539",65000000,85911262,14.0
220,Sex Tape,2014,Jul,Comedy,R,94,English,Jake Kasdan,Kate Angelo,Cameron Diaz,36,51,"80,669",40000000,33880665,11.0
221,Alive Inside,2014,Oct,Documentary,NOT RATED,78,English,Michael Rossato-Bennett,Michael Rossato-Bennett,Dan Cohen,67,82,"1,828",600000,7200,41.0
222,Maggie,2015,May,Drama,PG-13,95,English,Henry Hobson,John Scott 3,Arnold Schwarzenegger,52,56,"26,541",8500000,187112,15.0
223,The Last Witch Hunter,2015,Oct,Action,PG-13,106,English,Breck Eisner,Cory Goodman,Vin Diesel,34,60,"40,628",75000000,27356090,23.0
224,And So It Goes,2014,Jul,Comedy,PG-13,94,English,Rob Reiner,Mark Andrus,Michael Douglas,38,57,"8,295",30000000,15155772,-11.0
225,Neighbors,2014,May,Comedy,R,97,English,Nicholas Stoller,Andrew Jay Cohen,Seth Rogen,68,64,"201,004",18000000,149771255,14.0
226,The Good Lie,2014,Nov,Drama,PG-13,110,English,Philippe Falardeau,Margaret Nagle,Reese Witherspoon,65,74,"18,158",20000000,841422,43.0
227,The Signal,2014,Jul,Sci-Fi,PG-13,97,English,William Eubank,Carlyle Eubank,Patrick Davidson,54,61,"45,175",4000000,600896,17.0
228,WARx2,2014,Apr,Documentary,PG-13,117,English,Bernie Olaf,Bernie Olaf,Betty Adams,N/A,93,"2,024",3000000,39705,-13.0
229,The Hunger Games: Mockingjay - Part 1,2014,Nov,Adventure,PG-13,123,English,Francis Lawrence,Peter Craig,Jennifer Lawrence,64,67,"280,510",125000000,337135885,40.0
230,The November Man,2014,Aug,Action,R,108,English,Roger Donaldson,Michael Finch,Pierce Brosnan,38,63,"47,052",15000000,24823474,14.0
231,The Hunger Games: Mockingjay - Part 2,2015,Nov,Adventure,PG-13,137,English,Francis Lawrence,Peter Craig,Jennifer Lawrence,65,69,"97,247",160000000,280976000,38.0
232,In the Heart of the Sea,2015,Dec,Action,PG-13,122,English,Ron Howard,Charles Leavitt,Chris Hemsworth,47,70,"33,186",100000000,24985612,36.0
233,The Lazarus Effect,2015,Feb,Horror,PG-13,83,English,David Gelb,Luke Dawson,Mark Duplass,31,52,"25,797",3300000,25799043,1.0
