id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross,sentiment
279,Burnt,2015,Oct,Comedy,R,101,English,John Wells,Steven Knight,Bradley Cooper,42,66,"41,512",20000000,13650738,19.0
280,5 Flights Up,2014,May,Drama,PG-13,92,English,Richard Loncraine,Charlie Peters,Morgan Freeman,55,61,"4,010",6000000,1013061,44.0
281,Rio 2,2014,Apr,Animation,G,101,English,Carlos Saldanha,Don Rhymer,Jake T. Austin,49,64,"54,996",103000000,131020633,6.0
282,Krampus,2015,Dec,Comedy,PG-13,98,English,Michael Dougherty,Todd Casey,Emjay Anthony,49,65,"16,794",15000000,42592530,-5.0
283,Mad Max: Fury Road,2015,May,Action,R,120,English,George Miller,George Miller,Tom Hardy,90,81,"482,416",150000000,153636354,1.0
284,The Judge,2014,Oct,Crime,R,141,English,David Dobkin,Nick Schenk,Robert Downey Jr.,48,74,"129,853",50000000,46590889,19.0
285,Dope,2015,Jun,Comedy,R,103,English,Rick Famuyiwa,Rick Famuyiwa,Rakim Mayers,72,73,"42,961",700000,17474107,27.0
286,Wild,2014,Dec,Adventure,R,115,English,Jean-Marc Vallée,Nick Hornby,Reese Witherspoon,76,71,"79,637",15000000,37877959,15.0
287,Steve Jobs,2015,Oct,Biography,R,122,English,Danny Boyle,Aaron Sorkin,Michael Fassbender,82,73,"67,279",30000000,17750583,24.0
288,Brick Mansions,2014,Apr,Action,PG-13,90,English,Camille Delamarre,Luc Besson,Paul Walker,40,57,"30,201",28000000,20285518,26.0
289,Chef,2014,May,Comedy,R,114,English,Jon Favreau,Jon Favreau,Jon Favreau,68,73,"129,954",11000000,30640336,23.0
290,Mortdecai,2015,Jan,Action,R,107,English,David Koepp,Eric Aronson,Johnny Depp,27,55,"42,020",60000000,7605668,1.0
291,Million Dollar Arm,2014,May,Biography,PG,124,English,Craig Gillespie,Tom McCarthy,Jon Hamm,56,71,"33,955",25000000,36312739,57.0
292,Still Alice,2014,Feb,Drama,PG-13,101,English,"Richard Glatzer, Wash Westmoreland",Richard Glatzer,Julianne Moore,72,75,"76,489",4100000,18656400,21.0
293,The Age of Adaline,2015,Apr,Drama,PG-13,112,English,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,51,72,"80,047",25000000,42478175,48.0
294,Tomorrowland,2015,May,Action,PG,130,English,Brad Bird,Damon Lindelof,George Clooney,60,65,"110,858",190000000,93417865,37.0
295,The Masked Saint,2016,Jan,Action,PG-13,111,English,Warren P. Sonoda,Scott Crowell,Brett Granstaff,22,46,111,3500000,123777,27.0
296,Barefoot,2014,Sep,Comedy,PG-13,90,English,Andrew Fleming,Stephen Zotnowski,Evan Rachel Wood,22,66,"15,494",6000000,11766,42.0
297,Dumb and Dumber To,2014,Nov,Comedy,PG-13,109,English,"Bobby Farrelly, Peter Farrelly",Sean Anders,Jim Carrey,36,57,"92,292",40000000,86208010,-7.0
298,A Haunted House 2,2014,Apr,Comedy,R,86,English,Michael Tiddes,Marlon Wayans,Marlon Wayans,17,47,"13,685",3500000,17314483,35.0
299,The Purge: Anarchy,2014,Jul,Action,R,103,English,James DeMonaco,James DeMonaco,Frank Grillo,50,65,"81,462",9000000,68547000,60.0
300,Southpaw,2015,Jul,Action,R,124,English,Antoine Fuqua,Kurt Sutter,Jake Gyllenhaal,57,75,"127,655",30000000,52316554,24.0
301,About Last Night,2014,Feb,Comedy,R,100,English,Steve Pink,Leslye Headland,Kevin Hart,62,61,"16,085",12500000,48637684,9.0
302,The Homesman,2014,May,Drama,R,122,English,Tommy Lee Jones,Tommy Lee Jones,Tommy Lee Jones,68,66,"19,841",16000000,2428883,0
303,The Nut Job,2014,Jan,Animation,PG,85,English,Peter Lepeniotis,Lorne Cameron,Will Arnett,37,58,"18,700",42000000,64238770,9.0
304,Taken 3,2014,Jan,Action,PG-13,109,English,Olivier Megaton,Luc Besson,Liam Neeson,26,60,"125,270",48000000,89256424,19.0
305,Big Eyes,2014,Dec,Biography,PG-13,106,English,Tim Burton,Scott Alexander,Amy Adams,62,70,"49,588",10000000,14479776,20.0
306,Tammy,2014,Jul,Comedy,R,97,English,Ben Falcone,Melissa McCarthy,Melissa McCarthy,39,49,"33,195",20000000,84416826,29.0
307,Moms' Night Out,2014,May,Comedy,PG,98,English,"Andrew Erwin, Jon Erwin",Jon Erwin,Sarah Drew,25,54,"9,966",5000000,10429707,36.0
308,We Are Your Friends,2015,Aug,Drama,R,96,English,Max Joseph,Max Joseph,Zac Efron,46,61,"14,990",6000000,3590010,43.0
309,The Equalizer,2014,Sep,Action,R,132,English,Antoine Fuqua,Richard Wenk,Denzel Washington,57,72,"217,348",55000000,100454738,33.0
310,The Walk,2015,Oct,Adventure,PG,123,English,Robert Zemeckis,Robert Zemeckis,Joseph Gordon-Levitt,70,75,"57,807",35000000,10137502,28.0
311,Kill the Messenger,2014,Oct,Biography,R,112,English,Michael Cuesta,Peter Landesman,Jeremy Renner,60,70,"30,149",5000000,2450846,31.0
312,Noah,2014,Mar,Action,PG-13,138,English,Darren Aronofsky,Darren Aronofsky,Russell Crowe,68,58,"193,859",125000000,101160529,10.0
313,Hot Pursuit,2015,May,Action,PG-13,87,English,Anne Fletcher,David Feeney,Reese Witherspoon,31,51,"30,216",35000000,34507079,25.0
314,The Perfect Guy,2015,Sep,Drama,PG-13,100,English,David M. Rosenthal,Alan B. McElroy,Sanaa Lathan,36,54,"4,735",12000000,57017904,45.0
315,300: Rise of an Empire,2014,Mar,Action,R,102,English,Noam Murro,Zack Snyder,Sullivan Stapleton,48,63,"214,091",110000000,106580051,68.0
316,Pride and Prejudice and Zombies,2016,Feb,Action,PG-13,107,English,Burr Steers,Burr Steers,Lily James,45,62,"6,711",28000000,5324240,24.0
317,Ride Along,2014,Jan,Action,PG-13,99,English,Tim Story,Greg Coolidge,Ice Cube,41,62,"67,807",25000000,134141530,23.0
318,Crimson Peak,2015,Oct,Drama,R,119,English,Guillermo del Toro,Guillermo del Toro,Mia Wasikowska,66,67,"63,384",55000000,31056945,20.0
319,13 Hours: The Secret Soldiers of Benghazi,2016,Jan,Action,R,144,English,Michael Bay,Chuck Hogan,John Krasinski,48,76,"9,803",50000000,47742896,-23.0
320,Paddington,2014,Jan,Comedy,PG,95,English,Paul King,Paul King,Tim Downie,77,72,"46,043",55000000,76223578,39.0
321,Poltergeist,2015,Jun,Fantasy,PG,114,English,Tobe Hooper,Steven Spielberg,Craig T. Nelson,79,74,"99,989",35000000,47415690,1.0
322,Blended,2014,May,Comedy,PG-13,117,English,Frank Coraci,Ivan Menchell,Adam Sandler,31,65,"82,134",40000000,45889191,25.0
323,Lucy,2014,Jul,Action,R,89,English,Luc Besson,Luc Besson,Scarlett Johansson,61,64,"308,431",40000000,125480625,13.0
324,Desert Dancer,2014,Apr,Biography,PG-13,104,English,Richard Raymond,Jon Croker,Nazanin Boniadi,49,59,"1,027",4000000,143653,11.0
325,Serena,2014,Feb,Drama,R,109,English,Susanne Bier,Christopher Kyle,Jennifer Lawrence,36,54,"15,987",30000000,176305,16.0
326,Insidious: Chapter 3,2015,Jun,Fantasy,PG-13,97,English,Leigh Whannell,Leigh Whannell,Dermot Mulroney,52,61,"45,417",10000000,52218558,6.0
327,The Boy,2016,Jan,Horror,PG-13,97,English,William Brent Bell,Stacey Menear,Lauren Cohan,42,62,"7,356",10000000,30778587,30.0
328,The Divergent Series: Allegiant,2016,Mar,Action,PG-13,121,English,":""Robert Schwentke",Noah Oppenheim,Shailene Woodley,N/A,N/A,N/A,115000000,,40.0
329,Miracles from Heaven,2016,Mar,Drama,PG,109,English,Patricia Riggen,Christy Beam,Jennifer Garner,N/A,N/A,N/A,13000000,,41.0
330,Midnight Special,2016,Mar,Adventure,PG-13,111,English,Jeff Nichols,Jeff Nichols,Michael Shannon,N/A,N/A,N/A,18000000,,29.0
331,The Bronze,2016,Mar,Comedy,R,108,English,Bryan Buckley,Melissa Rauch,Melissa Rauch,N/A,N/A,N/A,3500000,,-9.0
332,The Program,2016,Mar,Biography,R,103,English,Stephen Frears,John Hodge,Ben Foster,N/A,N/A,N/A,1700000,,9.0
333,My Golden Days,2016,Mar,Drama,R,123,English,Arnaud Desplechin,Arnaud Desplechin,Quentin Dolmaire,N/A,N/A,N/A,1700000,,26.0
334,Batman v Superman: Dawn of Justice,2016,Mar,Action,PG-13,153,English,Zack Snyder,Chris Terrio,Ben Affleck,N/A,N/A,N/A,250000000,,23.0
